wl,n,k
3.60E-01,4.18E+00,1.08E+00
3.61E-01,4.17E+00,1.04E+00
3.61E-01,4.15E+00,1.01E+00
3.62E-01,4.14E+00,9.80E-01
3.63E-01,4.13E+00,9.51E-01
3.64E-01,4.12E+00,9.24E-01
3.65E-01,4.10E+00,8.98E-01
3.66E-01,4.09E+00,8.73E-01
3.67E-01,4.08E+00,8.49E-01
3.68E-01,4.06E+00,8.27E-01
3.68E-01,4.05E+00,8.06E-01
3.69E-01,4.03E+00,7.86E-01
3.70E-01,4.02E+00,7.67E-01
3.71E-01,4.00E+00,7.49E-01
3.72E-01,3.99E+00,7.32E-01
3.73E-01,3.97E+00,7.15E-01
3.74E-01,3.96E+00,7.00E-01
3.75E-01,3.94E+00,6.85E-01
3.76E-01,3.93E+00,6.71E-01
3.77E-01,3.91E+00,6.58E-01
3.78E-01,3.90E+00,6.45E-01
3.79E-01,3.88E+00,6.33E-01
3.80E-01,3.87E+00,6.22E-01
3.81E-01,3.86E+00,6.11E-01
3.81E-01,3.84E+00,6.01E-01
3.82E-01,3.83E+00,5.92E-01
3.83E-01,3.81E+00,5.84E-01
3.84E-01,3.80E+00,5.78E-01
3.85E-01,3.78E+00,5.75E-01
3.86E-01,3.77E+00,5.76E-01
3.87E-01,3.77E+00,5.78E-01
3.88E-01,3.77E+00,5.76E-01
3.89E-01,3.78E+00,5.61E-01
3.90E-01,3.77E+00,5.39E-01
3.91E-01,3.76E+00,5.20E-01
3.92E-01,3.74E+00,5.07E-01
3.93E-01,3.73E+00,4.96E-01
3.94E-01,3.71E+00,4.88E-01
3.95E-01,3.70E+00,4.81E-01
3.97E-01,3.69E+00,4.74E-01
3.98E-01,3.68E+00,4.68E-01
3.99E-01,3.67E+00,4.63E-01
4.00E-01,3.65E+00,4.58E-01
4.01E-01,3.64E+00,4.53E-01
4.02E-01,3.63E+00,4.48E-01
4.03E-01,3.62E+00,4.44E-01
4.04E-01,3.61E+00,4.40E-01
4.05E-01,3.60E+00,4.36E-01
4.06E-01,3.59E+00,4.32E-01
4.07E-01,3.59E+00,4.28E-01
4.08E-01,3.58E+00,4.24E-01
4.09E-01,3.57E+00,4.21E-01
4.11E-01,3.56E+00,4.17E-01
4.12E-01,3.55E+00,4.14E-01
4.13E-01,3.54E+00,4.11E-01
4.14E-01,3.54E+00,4.08E-01
4.15E-01,3.53E+00,4.05E-01
4.16E-01,3.52E+00,4.02E-01
4.17E-01,3.51E+00,3.99E-01
4.19E-01,3.51E+00,3.96E-01
4.20E-01,3.50E+00,3.93E-01
4.21E-01,3.49E+00,3.90E-01
4.22E-01,3.49E+00,3.88E-01
4.23E-01,3.48E+00,3.85E-01
4.24E-01,3.47E+00,3.83E-01
4.26E-01,3.47E+00,3.80E-01
4.27E-01,3.46E+00,3.78E-01
4.28E-01,3.45E+00,3.75E-01
4.29E-01,3.45E+00,3.73E-01
4.30E-01,3.44E+00,3.71E-01
4.32E-01,3.44E+00,3.68E-01
4.33E-01,3.43E+00,3.66E-01
4.34E-01,3.43E+00,3.64E-01
4.35E-01,3.42E+00,3.62E-01
4.37E-01,3.42E+00,3.59E-01
4.38E-01,3.41E+00,3.57E-01
4.39E-01,3.41E+00,3.55E-01
4.41E-01,3.40E+00,3.53E-01
4.42E-01,3.40E+00,3.51E-01
4.43E-01,3.39E+00,3.49E-01
4.44E-01,3.39E+00,3.47E-01
4.46E-01,3.38E+00,3.45E-01
4.47E-01,3.38E+00,3.43E-01
4.48E-01,3.37E+00,3.41E-01
4.50E-01,3.37E+00,3.39E-01
4.51E-01,3.37E+00,3.36E-01
4.52E-01,3.36E+00,3.34E-01
4.54E-01,3.36E+00,3.32E-01
4.55E-01,3.35E+00,3.30E-01
4.56E-01,3.35E+00,3.28E-01
4.58E-01,3.35E+00,3.26E-01
4.59E-01,3.34E+00,3.24E-01
4.61E-01,3.34E+00,3.22E-01
4.62E-01,3.34E+00,3.20E-01
4.64E-01,3.33E+00,3.18E-01
4.65E-01,3.33E+00,3.16E-01
4.66E-01,3.33E+00,3.14E-01
4.68E-01,3.32E+00,3.12E-01
4.69E-01,3.32E+00,3.09E-01
4.71E-01,3.32E+00,3.07E-01
4.72E-01,3.31E+00,3.05E-01
4.74E-01,3.31E+00,3.03E-01
4.75E-01,3.31E+00,3.00E-01
4.77E-01,3.31E+00,2.98E-01
4.78E-01,3.30E+00,2.96E-01
4.80E-01,3.30E+00,2.93E-01
4.81E-01,3.30E+00,2.91E-01
4.83E-01,3.30E+00,2.89E-01
4.84E-01,3.29E+00,2.86E-01
4.86E-01,3.29E+00,2.84E-01
4.87E-01,3.29E+00,2.81E-01
4.89E-01,3.29E+00,2.78E-01
4.91E-01,3.28E+00,2.76E-01
4.92E-01,3.28E+00,2.73E-01
4.94E-01,3.28E+00,2.70E-01
4.95E-01,3.28E+00,2.67E-01
4.97E-01,3.27E+00,2.64E-01
4.99E-01,3.27E+00,2.61E-01
5.00E-01,3.27E+00,2.58E-01
5.02E-01,3.27E+00,2.55E-01
5.04E-01,3.27E+00,2.51E-01
5.05E-01,3.26E+00,2.48E-01
5.07E-01,3.26E+00,2.45E-01
5.09E-01,3.26E+00,2.41E-01
5.11E-01,3.26E+00,2.37E-01
5.12E-01,3.26E+00,2.33E-01
5.14E-01,3.25E+00,2.30E-01
5.16E-01,3.25E+00,2.26E-01
5.18E-01,3.25E+00,2.21E-01
5.19E-01,3.25E+00,2.17E-01
5.21E-01,3.24E+00,2.13E-01
5.23E-01,3.24E+00,2.08E-01
5.25E-01,3.24E+00,2.04E-01
5.27E-01,3.23E+00,1.99E-01
5.28E-01,3.23E+00,1.94E-01
5.30E-01,3.22E+00,1.90E-01
5.32E-01,3.22E+00,1.86E-01
5.34E-01,3.21E+00,1.82E-01
5.36E-01,3.20E+00,1.81E-01
5.38E-01,3.20E+00,1.82E-01
5.40E-01,3.19E+00,1.88E-01
5.42E-01,3.18E+00,2.03E-01
5.44E-01,3.19E+00,2.24E-01
5.46E-01,3.22E+00,2.34E-01
5.48E-01,3.26E+00,2.12E-01
5.50E-01,3.27E+00,1.75E-01
5.52E-01,3.26E+00,1.45E-01
5.54E-01,3.24E+00,1.25E-01
5.56E-01,3.23E+00,1.13E-01
5.58E-01,3.21E+00,1.04E-01
5.60E-01,3.20E+00,9.82E-02
5.62E-01,3.19E+00,9.38E-02
5.64E-01,3.18E+00,9.05E-02
5.66E-01,3.17E+00,8.78E-02
5.68E-01,3.16E+00,8.56E-02
5.70E-01,3.15E+00,8.37E-02
5.73E-01,3.15E+00,8.21E-02
5.75E-01,3.14E+00,8.06E-02
5.77E-01,3.13E+00,7.93E-02
5.79E-01,3.12E+00,7.82E-02
5.81E-01,3.12E+00,7.71E-02
5.84E-01,3.11E+00,7.61E-02
5.86E-01,3.11E+00,7.52E-02
5.88E-01,3.10E+00,7.43E-02
5.90E-01,3.10E+00,7.35E-02
5.93E-01,3.09E+00,7.27E-02
5.95E-01,3.08E+00,7.19E-02
5.97E-01,3.08E+00,7.12E-02
6.00E-01,3.07E+00,7.05E-02
6.02E-01,3.07E+00,6.98E-02
6.05E-01,3.07E+00,6.92E-02
6.07E-01,3.06E+00,6.85E-02
6.10E-01,3.06E+00,6.79E-02
6.12E-01,3.05E+00,6.73E-02
6.15E-01,3.05E+00,6.67E-02
6.17E-01,3.04E+00,6.61E-02
6.20E-01,3.04E+00,6.56E-02
6.22E-01,3.03E+00,6.50E-02
6.25E-01,3.03E+00,6.45E-02
6.27E-01,3.03E+00,6.40E-02
6.30E-01,3.02E+00,6.34E-02
6.33E-01,3.02E+00,6.29E-02
6.35E-01,3.02E+00,6.24E-02
6.38E-01,3.01E+00,6.19E-02
6.41E-01,3.01E+00,6.14E-02
6.43E-01,3.00E+00,6.09E-02
6.46E-01,3.00E+00,6.05E-02
6.49E-01,3.00E+00,6.00E-02
6.52E-01,2.99E+00,5.95E-02
6.54E-01,2.99E+00,5.91E-02
6.57E-01,2.99E+00,5.86E-02
6.60E-01,2.98E+00,5.82E-02
6.63E-01,2.98E+00,5.77E-02
6.66E-01,2.98E+00,5.73E-02
6.69E-01,2.97E+00,5.69E-02
6.72E-01,2.97E+00,5.64E-02
6.75E-01,2.97E+00,5.60E-02
6.78E-01,2.96E+00,5.56E-02
6.81E-01,2.96E+00,5.52E-02
6.84E-01,2.96E+00,5.48E-02
6.87E-01,2.96E+00,5.44E-02
6.90E-01,2.95E+00,5.40E-02
6.94E-01,2.95E+00,5.36E-02
6.97E-01,2.95E+00,5.32E-02
7.00E-01,2.94E+00,5.28E-02
7.03E-01,2.94E+00,5.24E-02
7.07E-01,2.94E+00,5.21E-02
7.10E-01,2.94E+00,5.17E-02
7.13E-01,2.93E+00,5.13E-02
7.17E-01,2.93E+00,5.09E-02
7.20E-01,2.93E+00,5.06E-02
7.24E-01,2.92E+00,5.02E-02
7.27E-01,2.92E+00,4.98E-02
7.31E-01,2.92E+00,4.95E-02
7.34E-01,2.92E+00,4.91E-02
7.38E-01,2.91E+00,4.88E-02
7.41E-01,2.91E+00,4.84E-02
7.45E-01,2.91E+00,4.81E-02
7.49E-01,2.91E+00,4.78E-02
7.52E-01,2.90E+00,4.74E-02
7.56E-01,2.90E+00,4.71E-02
7.60E-01,2.90E+00,4.67E-02
7.64E-01,2.90E+00,4.64E-02
7.68E-01,2.89E+00,4.61E-02
7.72E-01,2.89E+00,4.58E-02
7.76E-01,2.89E+00,4.54E-02
7.80E-01,2.89E+00,4.51E-02
7.84E-01,2.88E+00,4.48E-02
7.88E-01,2.88E+00,4.45E-02
7.92E-01,2.88E+00,4.42E-02
7.96E-01,2.88E+00,4.39E-02
8.00E-01,2.88E+00,4.36E-02
8.05E-01,2.87E+00,4.32E-02
8.09E-01,2.87E+00,4.29E-02
8.13E-01,2.87E+00,4.26E-02
8.18E-01,2.87E+00,4.23E-02
8.22E-01,2.86E+00,4.20E-02
8.27E-01,2.86E+00,4.17E-02
